PING 34.94.6.178 (34.94.6.178) 56(84) bytes of data.
64 bytes from 34.94.6.178: icmp_seq=170 ttl=61 time=2.70 ms
64 bytes from 34.94.6.178: icmp_seq=171 ttl=61 time=3.06 ms
64 bytes from 34.94.6.178: icmp_seq=172 ttl=61 time=3.21 ms
64 bytes from 34.94.6.178: icmp_seq=173 ttl=61 time=2.87 ms
64 bytes from 34.94.6.178: icmp_seq=174 ttl=61 time=3.10 ms
64 bytes from 34.94.6.178: icmp_seq=175 ttl=61 time=3.49 ms
64 bytes from 34.94.6.178: icmp_seq=176 ttl=61 time=2.76 ms
64 bytes from 34.94.6.178: icmp_seq=177 ttl=61 time=2.72 ms
64 bytes from 34.94.6.178: icmp_seq=178 ttl=61 time=3.13 ms
64 bytes from 34.94.6.178: icmp_seq=179 ttl=61 time=2.93 ms
64 bytes from 34.94.6.178: icmp_seq=180 ttl=61 time=3.75 ms
64 bytes from 34.94.6.178: icmp_seq=181 ttl=61 time=3.35 ms
64 bytes from 34.94.6.178: icmp_seq=182 ttl=61 time=2.62 ms
64 bytes from 34.94.6.178: icmp_seq=183 ttl=61 time=3.13 ms
64 bytes from 34.94.6.178: icmp_seq=184 ttl=61 time=3.07 ms
64 bytes from 34.94.6.178: icmp_seq=185 ttl=61 time=4.01 ms
64 bytes from 34.94.6.178: icmp_seq=186 ttl=61 time=2.95 ms
64 bytes from 34.94.6.178: icmp_seq=187 ttl=61 time=3.55 ms
64 bytes from 34.94.6.178: icmp_seq=188 ttl=61 time=2.83 ms
64 bytes from 34.94.6.178: icmp_seq=189 ttl=61 time=3.18 ms
64 bytes from 34.94.6.178: icmp_seq=190 ttl=61 time=2.88 ms
64 bytes from 34.94.6.178: icmp_seq=191 ttl=61 time=3.40 ms
64 bytes from 34.94.6.178: icmp_seq=192 ttl=61 time=3.42 ms
64 bytes from 34.94.6.178: icmp_seq=193 ttl=61 time=3.30 ms
64 bytes from 34.94.6.178: icmp_seq=194 ttl=61 time=6.02 ms
64 bytes from 34.94.6.178: icmp_seq=195 ttl=61 time=4.58 ms
64 bytes from 34.94.6.178: icmp_seq=196 ttl=61 time=3.74 ms
64 bytes from 34.94.6.178: icmp_seq=197 ttl=61 time=2.74 ms
64 bytes from 34.94.6.178: icmp_seq=198 ttl=61 time=2.75 ms
64 bytes from 34.94.6.178: icmp_seq=199 ttl=61 time=3.74 ms
64 bytes from 34.94.6.178: icmp_seq=200 ttl=61 time=3.32 ms
64 bytes from 34.94.6.178: icmp_seq=201 ttl=61 time=3.25 ms
64 bytes from 34.94.6.178: icmp_seq=202 ttl=61 time=3.60 ms
64 bytes from 34.94.6.178: icmp_seq=203 ttl=61 time=2.90 ms
64 bytes from 34.94.6.178: icmp_seq=204 ttl=61 time=3.20 ms
64 bytes from 34.94.6.178: icmp_seq=205 ttl=61 time=3.31 ms
64 bytes from 34.94.6.178: icmp_seq=206 ttl=61 time=4.17 ms
64 bytes from 34.94.6.178: icmp_seq=207 ttl=61 time=3.23 ms
64 bytes from 34.94.6.178: icmp_seq=208 ttl=61 time=3.76 ms
64 bytes from 34.94.6.178: icmp_seq=209 ttl=61 time=3.87 ms
64 bytes from 34.94.6.178: icmp_seq=210 ttl=61 time=3.51 ms
64 bytes from 34.94.6.178: icmp_seq=211 ttl=61 time=3.23 ms
64 bytes from 34.94.6.178: icmp_seq=212 ttl=61 time=2.80 ms
64 bytes from 34.94.6.178: icmp_seq=213 ttl=61 time=3.68 ms
64 bytes from 34.94.6.178: icmp_seq=214 ttl=61 time=3.67 ms
64 bytes from 34.94.6.178: icmp_seq=215 ttl=61 time=2.95 ms
64 bytes from 34.94.6.178: icmp_seq=216 ttl=61 time=3.18 ms
64 bytes from 34.94.6.178: icmp_seq=217 ttl=61 time=3.05 ms
64 bytes from 34.94.6.178: icmp_seq=218 ttl=61 time=2.72 ms
64 bytes from 34.94.6.178: icmp_seq=219 ttl=61 time=2.97 ms
64 bytes from 34.94.6.178: icmp_seq=220 ttl=61 time=3.85 ms
64 bytes from 34.94.6.178: icmp_seq=221 ttl=61 time=3.53 ms
64 bytes from 34.94.6.178: icmp_seq=222 ttl=61 time=3.74 ms
64 bytes from 34.94.6.178: icmp_seq=223 ttl=61 time=3.46 ms
64 bytes from 34.94.6.178: icmp_seq=224 ttl=61 time=2.75 ms
64 bytes from 34.94.6.178: icmp_seq=225 ttl=61 time=2.69 ms
64 bytes from 34.94.6.178: icmp_seq=226 ttl=61 time=3.87 ms
64 bytes from 34.94.6.178: icmp_seq=227 ttl=61 time=3.22 ms
64 bytes from 34.94.6.178: icmp_seq=228 ttl=61 time=2.53 ms
64 bytes from 34.94.6.178: icmp_seq=229 ttl=61 time=2.89 ms
64 bytes from 34.94.6.178: icmp_seq=230 ttl=61 time=2.72 ms
64 bytes from 34.94.6.178: icmp_seq=231 ttl=61 time=2.95 ms
64 bytes from 34.94.6.178: icmp_seq=232 ttl=61 time=3.92 ms
64 bytes from 34.94.6.178: icmp_seq=233 ttl=61 time=2.69 ms
64 bytes from 34.94.6.178: icmp_seq=234 ttl=61 time=3.43 ms
64 bytes from 34.94.6.178: icmp_seq=235 ttl=61 time=4.50 ms
64 bytes from 34.94.6.178: icmp_seq=236 ttl=61 time=4.22 ms
64 bytes from 34.94.6.178: icmp_seq=237 ttl=61 time=2.93 ms
64 bytes from 34.94.6.178: icmp_seq=238 ttl=61 time=2.36 ms
64 bytes from 34.94.6.178: icmp_seq=239 ttl=61 time=3.22 ms
64 bytes from 34.94.6.178: icmp_seq=240 ttl=61 time=3.45 ms
64 bytes from 34.94.6.178: icmp_seq=241 ttl=61 time=3.35 ms
64 bytes from 34.94.6.178: icmp_seq=242 ttl=61 time=4.05 ms
64 bytes from 34.94.6.178: icmp_seq=243 ttl=61 time=2.55 ms
64 bytes from 34.94.6.178: icmp_seq=244 ttl=61 time=3.30 ms
64 bytes from 34.94.6.178: icmp_seq=245 ttl=61 time=3.57 ms
64 bytes from 34.94.6.178: icmp_seq=246 ttl=61 time=3.21 ms
64 bytes from 34.94.6.178: icmp_seq=247 ttl=61 time=2.93 ms
64 bytes from 34.94.6.178: icmp_seq=248 ttl=61 time=2.69 ms
64 bytes from 34.94.6.178: icmp_seq=249 ttl=61 time=3.08 ms
64 bytes from 34.94.6.178: icmp_seq=250 ttl=61 time=3.24 ms
64 bytes from 34.94.6.178: icmp_seq=251 ttl=61 time=3.74 ms
64 bytes from 34.94.6.178: icmp_seq=252 ttl=61 time=3.35 ms
64 bytes from 34.94.6.178: icmp_seq=253 ttl=61 time=2.73 ms
64 bytes from 34.94.6.178: icmp_seq=254 ttl=61 time=3.61 ms
64 bytes from 34.94.6.178: icmp_seq=255 ttl=61 time=3.17 ms
64 bytes from 34.94.6.178: icmp_seq=256 ttl=61 time=3.45 ms
64 bytes from 34.94.6.178: icmp_seq=257 ttl=61 time=2.73 ms
64 bytes from 34.94.6.178: icmp_seq=258 ttl=61 time=3.02 ms
64 bytes from 34.94.6.178: icmp_seq=259 ttl=61 time=4.58 ms
64 bytes from 34.94.6.178: icmp_seq=260 ttl=61 time=3.90 ms
64 bytes from 34.94.6.178: icmp_seq=261 ttl=61 time=3.69 ms
64 bytes from 34.94.6.178: icmp_seq=262 ttl=61 time=3.04 ms
64 bytes from 34.94.6.178: icmp_seq=263 ttl=61 time=3.28 ms
64 bytes from 34.94.6.178: icmp_seq=264 ttl=61 time=3.09 ms
64 bytes from 34.94.6.178: icmp_seq=265 ttl=61 time=4.02 ms
64 bytes from 34.94.6.178: icmp_seq=266 ttl=61 time=3.01 ms
64 bytes from 34.94.6.178: icmp_seq=267 ttl=61 time=2.32 ms
64 bytes from 34.94.6.178: icmp_seq=268 ttl=61 time=2.59 ms
64 bytes from 34.94.6.178: icmp_seq=269 ttl=61 time=3.00 ms
64 bytes from 34.94.6.178: icmp_seq=270 ttl=61 time=2.38 ms
64 bytes from 34.94.6.178: icmp_seq=271 ttl=61 time=3.05 ms
64 bytes from 34.94.6.178: icmp_seq=272 ttl=61 time=2.75 ms
64 bytes from 34.94.6.178: icmp_seq=273 ttl=61 time=3.12 ms
64 bytes from 34.94.6.178: icmp_seq=274 ttl=61 time=3.27 ms
64 bytes from 34.94.6.178: icmp_seq=275 ttl=61 time=3.67 ms
64 bytes from 34.94.6.178: icmp_seq=276 ttl=61 time=2.86 ms
64 bytes from 34.94.6.178: icmp_seq=277 ttl=61 time=3.02 ms
64 bytes from 34.94.6.178: icmp_seq=278 ttl=61 time=3.53 ms
64 bytes from 34.94.6.178: icmp_seq=279 ttl=61 time=2.41 ms
64 bytes from 34.94.6.178: icmp_seq=280 ttl=61 time=3.51 ms
64 bytes from 34.94.6.178: icmp_seq=281 ttl=61 time=3.05 ms
64 bytes from 34.94.6.178: icmp_seq=282 ttl=61 time=3.31 ms
64 bytes from 34.94.6.178: icmp_seq=283 ttl=61 time=3.91 ms
64 bytes from 34.94.6.178: icmp_seq=284 ttl=61 time=3.33 ms
64 bytes from 34.94.6.178: icmp_seq=285 ttl=61 time=2.74 ms
64 bytes from 34.94.6.178: icmp_seq=286 ttl=61 time=3.40 ms
64 bytes from 34.94.6.178: icmp_seq=287 ttl=61 time=3.56 ms
64 bytes from 34.94.6.178: icmp_seq=288 ttl=61 time=3.02 ms
64 bytes from 34.94.6.178: icmp_seq=289 ttl=61 time=2.67 ms
64 bytes from 34.94.6.178: icmp_seq=290 ttl=61 time=3.31 ms
64 bytes from 34.94.6.178: icmp_seq=291 ttl=61 time=2.53 ms
64 bytes from 34.94.6.178: icmp_seq=292 ttl=61 time=3.52 ms
64 bytes from 34.94.6.178: icmp_seq=293 ttl=61 time=2.57 ms
64 bytes from 34.94.6.178: icmp_seq=294 ttl=61 time=2.71 ms
64 bytes from 34.94.6.178: icmp_seq=295 ttl=61 time=2.89 ms
64 bytes from 34.94.6.178: icmp_seq=296 ttl=61 time=3.13 ms
64 bytes from 34.94.6.178: icmp_seq=297 ttl=61 time=3.51 ms
64 bytes from 34.94.6.178: icmp_seq=298 ttl=61 time=2.77 ms
64 bytes from 34.94.6.178: icmp_seq=299 ttl=61 time=3.36 ms
64 bytes from 34.94.6.178: icmp_seq=300 ttl=61 time=3.89 ms
64 bytes from 34.94.6.178: icmp_seq=301 ttl=61 time=2.78 ms
64 bytes from 34.94.6.178: icmp_seq=302 ttl=61 time=3.41 ms
64 bytes from 34.94.6.178: icmp_seq=303 ttl=61 time=2.88 ms
64 bytes from 34.94.6.178: icmp_seq=304 ttl=61 time=3.11 ms
64 bytes from 34.94.6.178: icmp_seq=305 ttl=61 time=3.16 ms
64 bytes from 34.94.6.178: icmp_seq=306 ttl=61 time=3.72 ms
64 bytes from 34.94.6.178: icmp_seq=307 ttl=61 time=4.68 ms
64 bytes from 34.94.6.178: icmp_seq=308 ttl=61 time=3.06 ms
64 bytes from 34.94.6.178: icmp_seq=309 ttl=61 time=2.55 ms
64 bytes from 34.94.6.178: icmp_seq=310 ttl=61 time=3.49 ms
64 bytes from 34.94.6.178: icmp_seq=311 ttl=61 time=3.38 ms
64 bytes from 34.94.6.178: icmp_seq=312 ttl=61 time=2.95 ms
64 bytes from 34.94.6.178: icmp_seq=313 ttl=61 time=3.59 ms
64 bytes from 34.94.6.178: icmp_seq=314 ttl=61 time=2.58 ms
64 bytes from 34.94.6.178: icmp_seq=315 ttl=61 time=3.55 ms
64 bytes from 34.94.6.178: icmp_seq=316 ttl=61 time=2.100 ms
64 bytes from 34.94.6.178: icmp_seq=317 ttl=61 time=2.61 ms
64 bytes from 34.94.6.178: icmp_seq=318 ttl=61 time=4.56 ms
64 bytes from 34.94.6.178: icmp_seq=319 ttl=61 time=4.41 ms
64 bytes from 34.94.6.178: icmp_seq=320 ttl=61 time=3.23 ms
64 bytes from 34.94.6.178: icmp_seq=321 ttl=61 time=3.18 ms
64 bytes from 34.94.6.178: icmp_seq=322 ttl=61 time=3.47 ms
64 bytes from 34.94.6.178: icmp_seq=323 ttl=61 time=3.17 ms
64 bytes from 34.94.6.178: icmp_seq=324 ttl=61 time=2.97 ms
