PING 54.183.192.90 (54.183.192.90) 56(84) bytes of data.
64 bytes from 54.183.192.90: icmp_seq=236 ttl=63 time=0.501 ms
64 bytes from 54.183.192.90: icmp_seq=237 ttl=63 time=0.499 ms
64 bytes from 54.183.192.90: icmp_seq=238 ttl=63 time=0.523 ms
64 bytes from 54.183.192.90: icmp_seq=239 ttl=63 time=0.462 ms
64 bytes from 54.183.192.90: icmp_seq=240 ttl=63 time=0.527 ms
64 bytes from 54.183.192.90: icmp_seq=241 ttl=63 time=0.531 ms
64 bytes from 54.183.192.90: icmp_seq=242 ttl=63 time=0.483 ms
64 bytes from 54.183.192.90: icmp_seq=243 ttl=63 time=0.801 ms
64 bytes from 54.183.192.90: icmp_seq=244 ttl=63 time=0.534 ms
64 bytes from 54.183.192.90: icmp_seq=245 ttl=63 time=0.499 ms
64 bytes from 54.183.192.90: icmp_seq=246 ttl=63 time=0.501 ms
64 bytes from 54.183.192.90: icmp_seq=247 ttl=63 time=0.465 ms
64 bytes from 54.183.192.90: icmp_seq=248 ttl=63 time=0.448 ms
64 bytes from 54.183.192.90: icmp_seq=249 ttl=63 time=0.486 ms
64 bytes from 54.183.192.90: icmp_seq=250 ttl=63 time=0.479 ms
64 bytes from 54.183.192.90: icmp_seq=251 ttl=63 time=0.452 ms
64 bytes from 54.183.192.90: icmp_seq=252 ttl=63 time=0.437 ms
64 bytes from 54.183.192.90: icmp_seq=253 ttl=63 time=4.46 ms
64 bytes from 54.183.192.90: icmp_seq=254 ttl=63 time=0.477 ms
64 bytes from 54.183.192.90: icmp_seq=255 ttl=63 time=0.458 ms
64 bytes from 54.183.192.90: icmp_seq=256 ttl=63 time=0.450 ms
64 bytes from 54.183.192.90: icmp_seq=257 ttl=63 time=0.500 ms
64 bytes from 54.183.192.90: icmp_seq=258 ttl=63 time=0.488 ms
64 bytes from 54.183.192.90: icmp_seq=259 ttl=63 time=0.473 ms
64 bytes from 54.183.192.90: icmp_seq=260 ttl=63 time=0.574 ms
64 bytes from 54.183.192.90: icmp_seq=261 ttl=63 time=0.481 ms
64 bytes from 54.183.192.90: icmp_seq=262 ttl=63 time=0.509 ms
64 bytes from 54.183.192.90: icmp_seq=263 ttl=63 time=0.428 ms
64 bytes from 54.183.192.90: icmp_seq=264 ttl=63 time=0.473 ms
64 bytes from 54.183.192.90: icmp_seq=265 ttl=63 time=1.20 ms
64 bytes from 54.183.192.90: icmp_seq=266 ttl=63 time=0.436 ms
64 bytes from 54.183.192.90: icmp_seq=267 ttl=63 time=0.505 ms
64 bytes from 54.183.192.90: icmp_seq=268 ttl=63 time=0.452 ms
64 bytes from 54.183.192.90: icmp_seq=269 ttl=63 time=0.421 ms
64 bytes from 54.183.192.90: icmp_seq=270 ttl=63 time=0.491 ms
64 bytes from 54.183.192.90: icmp_seq=271 ttl=63 time=0.517 ms
64 bytes from 54.183.192.90: icmp_seq=272 ttl=63 time=0.508 ms
64 bytes from 54.183.192.90: icmp_seq=273 ttl=63 time=0.588 ms
64 bytes from 54.183.192.90: icmp_seq=274 ttl=63 time=1.30 ms
64 bytes from 54.183.192.90: icmp_seq=275 ttl=63 time=0.476 ms
64 bytes from 54.183.192.90: icmp_seq=276 ttl=63 time=0.567 ms
64 bytes from 54.183.192.90: icmp_seq=277 ttl=63 time=0.559 ms
64 bytes from 54.183.192.90: icmp_seq=278 ttl=63 time=0.672 ms
64 bytes from 54.183.192.90: icmp_seq=279 ttl=63 time=0.500 ms
64 bytes from 54.183.192.90: icmp_seq=280 ttl=63 time=0.502 ms
64 bytes from 54.183.192.90: icmp_seq=281 ttl=63 time=0.484 ms
64 bytes from 54.183.192.90: icmp_seq=282 ttl=63 time=0.479 ms
64 bytes from 54.183.192.90: icmp_seq=283 ttl=63 time=0.527 ms
64 bytes from 54.183.192.90: icmp_seq=284 ttl=63 time=0.486 ms
64 bytes from 54.183.192.90: icmp_seq=285 ttl=63 time=0.490 ms
64 bytes from 54.183.192.90: icmp_seq=286 ttl=63 time=0.527 ms
64 bytes from 54.183.192.90: icmp_seq=287 ttl=63 time=0.531 ms
64 bytes from 54.183.192.90: icmp_seq=288 ttl=63 time=0.545 ms
64 bytes from 54.183.192.90: icmp_seq=289 ttl=63 time=0.451 ms
64 bytes from 54.183.192.90: icmp_seq=290 ttl=63 time=0.489 ms
64 bytes from 54.183.192.90: icmp_seq=291 ttl=63 time=0.576 ms
64 bytes from 54.183.192.90: icmp_seq=292 ttl=63 time=0.470 ms
64 bytes from 54.183.192.90: icmp_seq=293 ttl=63 time=0.550 ms
64 bytes from 54.183.192.90: icmp_seq=294 ttl=63 time=0.491 ms
64 bytes from 54.183.192.90: icmp_seq=295 ttl=63 time=0.573 ms
64 bytes from 54.183.192.90: icmp_seq=296 ttl=63 time=0.494 ms
64 bytes from 54.183.192.90: icmp_seq=297 ttl=63 time=0.498 ms
64 bytes from 54.183.192.90: icmp_seq=298 ttl=63 time=0.819 ms
64 bytes from 54.183.192.90: icmp_seq=299 ttl=63 time=0.490 ms
64 bytes from 54.183.192.90: icmp_seq=300 ttl=63 time=0.450 ms
64 bytes from 54.183.192.90: icmp_seq=301 ttl=63 time=0.476 ms
64 bytes from 54.183.192.90: icmp_seq=302 ttl=63 time=0.682 ms
64 bytes from 54.183.192.90: icmp_seq=303 ttl=63 time=0.482 ms
64 bytes from 54.183.192.90: icmp_seq=304 ttl=63 time=0.484 ms
64 bytes from 54.183.192.90: icmp_seq=305 ttl=63 time=0.490 ms
64 bytes from 54.183.192.90: icmp_seq=306 ttl=63 time=0.482 ms
64 bytes from 54.183.192.90: icmp_seq=307 ttl=63 time=0.527 ms
64 bytes from 54.183.192.90: icmp_seq=308 ttl=63 time=0.481 ms
64 bytes from 54.183.192.90: icmp_seq=309 ttl=63 time=0.456 ms
64 bytes from 54.183.192.90: icmp_seq=310 ttl=63 time=0.471 ms
64 bytes from 54.183.192.90: icmp_seq=311 ttl=63 time=0.474 ms
64 bytes from 54.183.192.90: icmp_seq=312 ttl=63 time=0.444 ms
64 bytes from 54.183.192.90: icmp_seq=313 ttl=63 time=0.458 ms
64 bytes from 54.183.192.90: icmp_seq=314 ttl=63 time=0.559 ms
64 bytes from 54.183.192.90: icmp_seq=315 ttl=63 time=0.470 ms
64 bytes from 54.183.192.90: icmp_seq=316 ttl=63 time=0.554 ms
64 bytes from 54.183.192.90: icmp_seq=317 ttl=63 time=0.734 ms
64 bytes from 54.183.192.90: icmp_seq=318 ttl=63 time=0.437 ms
64 bytes from 54.183.192.90: icmp_seq=319 ttl=63 time=0.564 ms
64 bytes from 54.183.192.90: icmp_seq=320 ttl=63 time=0.468 ms
64 bytes from 54.183.192.90: icmp_seq=321 ttl=63 time=0.486 ms
64 bytes from 54.183.192.90: icmp_seq=322 ttl=63 time=0.432 ms
64 bytes from 54.183.192.90: icmp_seq=323 ttl=63 time=0.499 ms
64 bytes from 54.183.192.90: icmp_seq=324 ttl=63 time=0.472 ms
64 bytes from 54.183.192.90: icmp_seq=325 ttl=63 time=0.459 ms
64 bytes from 54.183.192.90: icmp_seq=326 ttl=63 time=0.472 ms
64 bytes from 54.183.192.90: icmp_seq=327 ttl=63 time=0.458 ms
64 bytes from 54.183.192.90: icmp_seq=328 ttl=63 time=0.517 ms
64 bytes from 54.183.192.90: icmp_seq=329 ttl=63 time=0.461 ms
64 bytes from 54.183.192.90: icmp_seq=330 ttl=63 time=0.547 ms
64 bytes from 54.183.192.90: icmp_seq=331 ttl=63 time=0.442 ms
64 bytes from 54.183.192.90: icmp_seq=332 ttl=63 time=0.493 ms
64 bytes from 54.183.192.90: icmp_seq=333 ttl=63 time=0.500 ms
64 bytes from 54.183.192.90: icmp_seq=334 ttl=63 time=0.520 ms
64 bytes from 54.183.192.90: icmp_seq=335 ttl=63 time=0.471 ms
64 bytes from 54.183.192.90: icmp_seq=336 ttl=63 time=0.484 ms
64 bytes from 54.183.192.90: icmp_seq=337 ttl=63 time=0.507 ms
64 bytes from 54.183.192.90: icmp_seq=338 ttl=63 time=0.443 ms
64 bytes from 54.183.192.90: icmp_seq=339 ttl=63 time=0.441 ms
64 bytes from 54.183.192.90: icmp_seq=340 ttl=63 time=5.43 ms
64 bytes from 54.183.192.90: icmp_seq=341 ttl=63 time=2.68 ms
64 bytes from 54.183.192.90: icmp_seq=342 ttl=63 time=0.509 ms
64 bytes from 54.183.192.90: icmp_seq=343 ttl=63 time=0.501 ms
64 bytes from 54.183.192.90: icmp_seq=344 ttl=63 time=0.469 ms
64 bytes from 54.183.192.90: icmp_seq=345 ttl=63 time=0.479 ms
64 bytes from 54.183.192.90: icmp_seq=346 ttl=63 time=0.410 ms
64 bytes from 54.183.192.90: icmp_seq=347 ttl=63 time=0.440 ms
64 bytes from 54.183.192.90: icmp_seq=348 ttl=63 time=0.434 ms
64 bytes from 54.183.192.90: icmp_seq=349 ttl=63 time=0.464 ms
64 bytes from 54.183.192.90: icmp_seq=350 ttl=63 time=0.484 ms
64 bytes from 54.183.192.90: icmp_seq=351 ttl=63 time=0.502 ms
64 bytes from 54.183.192.90: icmp_seq=352 ttl=63 time=0.481 ms
64 bytes from 54.183.192.90: icmp_seq=353 ttl=63 time=0.455 ms
64 bytes from 54.183.192.90: icmp_seq=354 ttl=63 time=0.672 ms
64 bytes from 54.183.192.90: icmp_seq=355 ttl=63 time=0.484 ms
